Filename,Predictions,Calories per 100 g
chicken wings/chicken_wings.770.jpg,cheese cake,321 cal
gyoza/gyoza.822.jpg,cheese cake,321 cal
waffle/waffle.987.jpg,cheese cake,321 cal
scallops/scallops.735.jpg,cheese cake,321 cal
french fries/french_fries.775.jpg,cheese cake,321 cal
gyoza/gyoza.871.jpg,cheese cake,321 cal
fried rice/fried_rice.857.jpg,cheese cake,321 cal
french fries/french_fries.967.jpg,cheese cake,321 cal
cheese cake/cheesecake.741.jpg,cheese cake,321 cal
ice-cream/ice_cream.999.jpg,cheese cake,321 cal
donuts/donuts.819.jpg,cheese cake,321 cal
chicken wings/chicken_wings.822.jpg,cheese cake,321 cal
ice-cream/ice_cream.770.jpg,cheese cake,321 cal
ice-cream/ice_cream.967.jpg,cheese cake,321 cal
donuts/donuts.926.jpg,cheese cake,321 cal
chicken wings/chicken_wings.700.jpg,cheese cake,321 cal
scallops/scallops.760.jpg,cheese cake,321 cal
fried rice/fried_rice.941.jpg,cheese cake,321 cal
scallops/scallops.721.jpg,cheese cake,321 cal
french fries/french_fries.787.jpg,cheese cake,321 cal
ice-cream/ice_cream.863.jpg,cheese cake,321 cal
scallops/scallops.860.jpg,cheese cake,321 cal
fried rice/fried_rice.799.jpg,cheese cake,321 cal
cheese cake/cheesecake.856.jpg,cheese cake,321 cal
gyoza/gyoza.825.jpg,cheese cake,321 cal
oyster/oysters.974.jpg,cheese cake,321 cal
ice-cream/ice_cream.881.jpg,cheese cake,321 cal
cheese cake/cheesecake.859.jpg,cheese cake,321 cal
waffle/waffle.780.jpg,cheese cake,321 cal
fried rice/fried_rice.963.jpg,cheese cake,321 cal
french fries/french_fries.813.jpg,cheese cake,321 cal
gyoza/gyoza.811.jpg,cheese cake,321 cal
gyoza/gyoza.993.jpg,cheese cake,321 cal
oyster/oysters.700.jpg,cheese cake,321 cal
ice-cream/ice_cream.995.jpg,cheese cake,321 cal
fried rice/fried_rice.789.jpg,cheese cake,321 cal
waffle/waffle.927.jpg,cheese cake,321 cal
donuts/donuts.844.jpg,cheese cake,321 cal
french fries/french_fries.857.jpg,cheese cake,321 cal
french fries/french_fries.759.jpg,cheese cake,321 cal
chicken wings/chicken_wings.830.jpg,cheese cake,321 cal
waffle/waffle.844.jpg,cheese cake,321 cal
gyoza/gyoza.966.jpg,cheese cake,321 cal
scallops/scallops.880.jpg,cheese cake,321 cal
cheese cake/cheesecake.709.jpg,cheese cake,321 cal
cheese cake/cheesecake.823.jpg,cheese cake,321 cal
oyster/oysters.909.jpg,cheese cake,321 cal
donuts/donuts.817.jpg,cheese cake,321 cal
chicken wings/chicken_wings.754.jpg,cheese cake,321 cal
ice-cream/ice_cream.755.jpg,cheese cake,321 cal
donuts/donuts.946.jpg,cheese cake,321 cal
gyoza/gyoza.776.jpg,cheese cake,321 cal
french fries/french_fries.703.jpg,cheese cake,321 cal
oyster/oysters.713.jpg,cheese cake,321 cal
donuts/donuts.804.jpg,cheese cake,321 cal
scallops/scallops.777.jpg,cheese cake,321 cal
chicken wings/chicken_wings.931.jpg,cheese cake,321 cal
fried rice/fried_rice.940.jpg,cheese cake,321 cal
donuts/donuts.858.jpg,cheese cake,321 cal
fried rice/fried_rice.897.jpg,cheese cake,321 cal
ice-cream/ice_cream.991.jpg,cheese cake,321 cal
french fries/french_fries.741.jpg,cheese cake,321 cal
ice-cream/ice_cream.841.jpg,cheese cake,321 cal
oyster/oysters.872.jpg,cheese cake,321 cal
ice-cream/ice_cream.944.jpg,cheese cake,321 cal
french fries/french_fries.899.jpg,cheese cake,321 cal
scallops/scallops.933.jpg,cheese cake,321 cal
gyoza/gyoza.706.jpg,cheese cake,321 cal
scallops/scallops.842.jpg,cheese cake,321 cal
french fries/french_fries.979.jpg,cheese cake,321 cal
oyster/oysters.711.jpg,cheese cake,321 cal
fried rice/fried_rice.838.jpg,cheese cake,321 cal
french fries/french_fries.810.jpg,cheese cake,321 cal
cheese cake/cheesecake.848.jpg,cheese cake,321 cal
fried rice/fried_rice.950.jpg,cheese cake,321 cal
fried rice/fried_rice.720.jpg,cheese cake,321 cal
donuts/donuts.789.jpg,cheese cake,321 cal
french fries/french_fries.996.jpg,cheese cake,321 cal
chicken wings/chicken_wings.976.jpg,cheese cake,321 cal
waffle/waffle.960.jpg,cheese cake,321 cal
scallops/scallops.817.jpg,cheese cake,321 cal
cheese cake/cheesecake.985.jpg,cheese cake,321 cal
chicken wings/chicken_wings.919.jpg,cheese cake,321 cal
french fries/french_fries.731.jpg,cheese cake,321 cal
cheese cake/cheesecake.792.jpg,cheese cake,321 cal
donuts/donuts.778.jpg,cheese cake,321 cal
donuts/donuts.734.jpg,cheese cake,321 cal
fried rice/fried_rice.812.jpg,cheese cake,321 cal
chicken wings/chicken_wings.955.jpg,cheese cake,321 cal
chicken wings/chicken_wings.847.jpg,cheese cake,321 cal
chicken wings/chicken_wings.894.jpg,cheese cake,321 cal
waffle/waffle.762.jpg,cheese cake,321 cal
chicken wings/chicken_wings.857.jpg,cheese cake,321 cal
ice-cream/ice_cream.759.jpg,cheese cake,321 cal
french fries/french_fries.788.jpg,cheese cake,321 cal
oyster/oysters.781.jpg,cheese cake,321 cal
scallops/scallops.822.jpg,cheese cake,321 cal
french fries/french_fries.838.jpg,cheese cake,321 cal
fried rice/fried_rice.889.jpg,cheese cake,321 cal
scallops/scallops.709.jpg,cheese cake,321 cal
chicken wings/chicken_wings.823.jpg,cheese cake,321 cal
waffle/waffle.898.jpg,cheese cake,321 cal
donuts/donuts.700.jpg,cheese cake,321 cal
oyster/oysters.805.jpg,cheese cake,321 cal
waffle/waffle.974.jpg,cheese cake,321 cal
fried rice/fried_rice.976.jpg,cheese cake,321 cal
gyoza/gyoza.884.jpg,cheese cake,321 cal
chicken wings/chicken_wings.861.jpg,cheese cake,321 cal
waffle/waffle.723.jpg,cheese cake,321 cal
gyoza/gyoza.747.jpg,cheese cake,321 cal
waffle/waffle.923.jpg,cheese cake,321 cal
oyster/oysters.906.jpg,cheese cake,321 cal
oyster/oysters.758.jpg,cheese cake,321 cal
waffle/waffle.804.jpg,cheese cake,321 cal
oyster/oysters.764.jpg,cheese cake,321 cal
gyoza/gyoza.808.jpg,cheese cake,321 cal
chicken wings/chicken_wings.800.jpg,cheese cake,321 cal
cheese cake/cheesecake.799.jpg,cheese cake,321 cal
french fries/french_fries.901.jpg,cheese cake,321 cal
cheese cake/cheesecake.737.jpg,cheese cake,321 cal
cheese cake/cheesecake.902.jpg,cheese cake,321 cal
chicken wings/chicken_wings.918.jpg,cheese cake,321 cal
scallops/scallops.753.jpg,cheese cake,321 cal
fried rice/fried_rice.974.jpg,cheese cake,321 cal
fried rice/fried_rice.842.jpg,cheese cake,321 cal
waffle/waffle.820.jpg,cheese cake,321 cal
ice-cream/ice_cream.906.jpg,cheese cake,321 cal
waffle/waffle.977.jpg,cheese cake,321 cal
french fries/french_fries.932.jpg,cheese cake,321 cal
scallops/scallops.879.jpg,cheese cake,321 cal
cheese cake/cheesecake.905.jpg,cheese cake,321 cal
waffle/waffle.989.jpg,cheese cake,321 cal
ice-cream/ice_cream.702.jpg,cheese cake,321 cal
waffle/waffle.872.jpg,cheese cake,321 cal
oyster/oysters.815.jpg,cheese cake,321 cal
scallops/scallops.784.jpg,cheese cake,321 cal
chicken wings/chicken_wings.926.jpg,cheese cake,321 cal
oyster/oysters.830.jpg,cheese cake,321 cal
waffle/waffle.807.jpg,cheese cake,321 cal
oyster/oysters.752.jpg,cheese cake,321 cal
scallops/scallops.786.jpg,cheese cake,321 cal
ice-cream/ice_cream.976.jpg,cheese cake,321 cal
fried rice/fried_rice.912.jpg,cheese cake,321 cal
waffle/waffle.745.jpg,cheese cake,321 cal
oyster/oysters.814.jpg,cheese cake,321 cal
waffle/waffle.879.jpg,cheese cake,321 cal
french fries/french_fries.839.jpg,cheese cake,321 cal
chicken wings/chicken_wings.997.jpg,cheese cake,321 cal
french fries/french_fries.844.jpg,cheese cake,321 cal
chicken wings/chicken_wings.851.jpg,cheese cake,321 cal
oyster/oysters.908.jpg,cheese cake,321 cal
ice-cream/ice_cream.745.jpg,cheese cake,321 cal
waffle/waffle.752.jpg,cheese cake,321 cal
gyoza/gyoza.750.jpg,cheese cake,321 cal
fried rice/fried_rice.841.jpg,cheese cake,321 cal
donuts/donuts.879.jpg,cheese cake,321 cal
cheese cake/cheesecake.990.jpg,cheese cake,321 cal
gyoza/gyoza.879.jpg,cheese cake,321 cal
chicken wings/chicken_wings.805.jpg,cheese cake,321 cal
cheese cake/cheesecake.947.jpg,cheese cake,321 cal
oyster/oysters.757.jpg,cheese cake,321 cal
fried rice/fried_rice.794.jpg,cheese cake,321 cal
ice-cream/ice_cream.735.jpg,cheese cake,321 cal
fried rice/fried_rice.724.jpg,cheese cake,321 cal
donuts/donuts.788.jpg,cheese cake,321 cal
fried rice/fried_rice.807.jpg,cheese cake,321 cal
ice-cream/ice_cream.992.jpg,cheese cake,321 cal
cheese cake/cheesecake.812.jpg,cheese cake,321 cal
chicken wings/chicken_wings.730.jpg,cheese cake,321 cal
donuts/donuts.932.jpg,cheese cake,321 cal
waffle/waffle.721.jpg,cheese cake,321 cal
oyster/oysters.966.jpg,cheese cake,321 cal
chicken wings/chicken_wings.807.jpg,cheese cake,321 cal
gyoza/gyoza.749.jpg,cheese cake,321 cal
fried rice/fried_rice.800.jpg,cheese cake,321 cal
ice-cream/ice_cream.895.jpg,cheese cake,321 cal
cheese cake/cheesecake.726.jpg,cheese cake,321 cal
donuts/donuts.919.jpg,cheese cake,321 cal
fried rice/fried_rice.725.jpg,cheese cake,321 cal
chicken wings/chicken_wings.959.jpg,cheese cake,321 cal
scallops/scallops.962.jpg,cheese cake,321 cal
french fries/french_fries.974.jpg,cheese cake,321 cal
french fries/french_fries.784.jpg,cheese cake,321 cal
oyster/oysters.765.jpg,cheese cake,321 cal
oyster/oysters.880.jpg,cheese cake,321 cal
ice-cream/ice_cream.739.jpg,cheese cake,321 cal
fried rice/fried_rice.760.jpg,cheese cake,321 cal
waffle/waffle.717.jpg,cheese cake,321 cal
cheese cake/cheesecake.747.jpg,cheese cake,321 cal
scallops/scallops.926.jpg,cheese cake,321 cal
fried rice/fried_rice.906.jpg,cheese cake,321 cal
ice-cream/ice_cream.776.jpg,cheese cake,321 cal
donuts/donuts.881.jpg,cheese cake,321 cal
cheese cake/cheesecake.998.jpg,cheese cake,321 cal
gyoza/gyoza.794.jpg,cheese cake,321 cal
ice-cream/ice_cream.803.jpg,cheese cake,321 cal
scallops/scallops.750.jpg,cheese cake,321 cal
french fries/french_fries.805.jpg,cheese cake,321 cal
donuts/donuts.776.jpg,cheese cake,321 cal
scallops/scallops.971.jpg,cheese cake,321 cal
ice-cream/ice_cream.757.jpg,cheese cake,321 cal
chicken wings/chicken_wings.710.jpg,cheese cake,321 cal
ice-cream/ice_cream.871.jpg,cheese cake,321 cal
french fries/french_fries.982.jpg,cheese cake,321 cal
ice-cream/ice_cream.708.jpg,cheese cake,321 cal
oyster/oysters.799.jpg,cheese cake,321 cal
french fries/french_fries.779.jpg,cheese cake,321 cal
gyoza/gyoza.827.jpg,cheese cake,321 cal
waffle/waffle.845.jpg,cheese cake,321 cal
cheese cake/cheesecake.849.jpg,cheese cake,321 cal
cheese cake/cheesecake.749.jpg,cheese cake,321 cal
donuts/donuts.811.jpg,cheese cake,321 cal
cheese cake/cheesecake.934.jpg,cheese cake,321 cal
oyster/oysters.820.jpg,cheese cake,321 cal
chicken wings/chicken_wings.849.jpg,cheese cake,321 cal
ice-cream/ice_cream.797.jpg,cheese cake,321 cal
cheese cake/cheesecake.965.jpg,cheese cake,321 cal
french fries/french_fries.998.jpg,cheese cake,321 cal
chicken wings/chicken_wings.736.jpg,cheese cake,321 cal
gyoza/gyoza.869.jpg,cheese cake,321 cal
fried rice/fried_rice.731.jpg,cheese cake,321 cal
cheese cake/cheesecake.844.jpg,cheese cake,321 cal
gyoza/gyoza.768.jpg,cheese cake,321 cal
ice-cream/ice_cream.707.jpg,cheese cake,321 cal
oyster/oysters.851.jpg,cheese cake,321 cal
french fries/french_fries.958.jpg,cheese cake,321 cal
gyoza/gyoza.926.jpg,cheese cake,321 cal
donuts/donuts.815.jpg,cheese cake,321 cal
ice-cream/ice_cream.907.jpg,cheese cake,321 cal
french fries/french_fries.960.jpg,cheese cake,321 cal
cheese cake/cheesecake.952.jpg,cheese cake,321 cal
oyster/oysters.771.jpg,cheese cake,321 cal
oyster/oysters.823.jpg,cheese cake,321 cal
scallops/scallops.948.jpg,cheese cake,321 cal
ice-cream/ice_cream.933.jpg,cheese cake,321 cal
chicken wings/chicken_wings.705.jpg,cheese cake,321 cal
gyoza/gyoza.907.jpg,cheese cake,321 cal
donuts/donuts.719.jpg,cheese cake,321 cal
gyoza/gyoza.858.jpg,cheese cake,321 cal
donuts/donuts.712.jpg,cheese cake,321 cal
donuts/donuts.924.jpg,cheese cake,321 cal
donuts/donuts.903.jpg,cheese cake,321 cal
scallops/scallops.870.jpg,cheese cake,321 cal
gyoza/gyoza.775.jpg,cheese cake,321 cal
fried rice/fried_rice.965.jpg,cheese cake,321 cal
french fries/french_fries.850.jpg,cheese cake,321 cal
scallops/scallops.984.jpg,cheese cake,321 cal
french fries/french_fries.821.jpg,cheese cake,321 cal
fried rice/fried_rice.739.jpg,cheese cake,321 cal
oyster/oysters.910.jpg,cheese cake,321 cal
donuts/donuts.964.jpg,cheese cake,321 cal
oyster/oysters.836.jpg,cheese cake,321 cal
fried rice/fried_rice.829.jpg,cheese cake,321 cal
fried rice/fried_rice.898.jpg,cheese cake,321 cal
scallops/scallops.802.jpg,cheese cake,321 cal
donuts/donuts.740.jpg,cheese cake,321 cal
oyster/oysters.772.jpg,cheese cake,321 cal
french fries/french_fries.986.jpg,cheese cake,321 cal
waffle/waffle.912.jpg,cheese cake,321 cal
scallops/scallops.838.jpg,cheese cake,321 cal
donuts/donuts.806.jpg,cheese cake,321 cal
chicken wings/chicken_wings.743.jpg,cheese cake,321 cal
gyoza/gyoza.943.jpg,cheese cake,321 cal
waffle/waffle.997.jpg,cheese cake,321 cal
chicken wings/chicken_wings.890.jpg,cheese cake,321 cal
french fries/french_fries.756.jpg,cheese cake,321 cal
scallops/scallops.882.jpg,cheese cake,321 cal
gyoza/gyoza.991.jpg,cheese cake,321 cal
french fries/french_fries.892.jpg,cheese cake,321 cal
cheese cake/cheesecake.956.jpg,cheese cake,321 cal
chicken wings/chicken_wings.988.jpg,cheese cake,321 cal
scallops/scallops.876.jpg,cheese cake,321 cal
chicken wings/chicken_wings.877.jpg,cheese cake,321 cal
oyster/oysters.999.jpg,cheese cake,321 cal
waffle/waffle.725.jpg,cheese cake,321 cal
oyster/oysters.922.jpg,cheese cake,321 cal
cheese cake/cheesecake.731.jpg,cheese cake,321 cal
scallops/scallops.782.jpg,cheese cake,321 cal
fried rice/fried_rice.753.jpg,cheese cake,321 cal
scallops/scallops.911.jpg,cheese cake,321 cal
scallops/scallops.983.jpg,cheese cake,321 cal
gyoza/gyoza.898.jpg,cheese cake,321 cal
ice-cream/ice_cream.845.jpg,cheese cake,321 cal
chicken wings/chicken_wings.886.jpg,cheese cake,321 cal
scallops/scallops.992.jpg,cheese cake,321 cal
oyster/oysters.868.jpg,cheese cake,321 cal
fried rice/fried_rice.927.jpg,cheese cake,321 cal
chicken wings/chicken_wings.794.jpg,cheese cake,321 cal
cheese cake/cheesecake.936.jpg,cheese cake,321 cal
oyster/oysters.968.jpg,cheese cake,321 cal
donuts/donuts.728.jpg,cheese cake,321 cal
scallops/scallops.952.jpg,cheese cake,321 cal
ice-cream/ice_cream.738.jpg,cheese cake,321 cal
french fries/french_fries.971.jpg,cheese cake,321 cal
scallops/scallops.905.jpg,cheese cake,321 cal
waffle/waffle.772.jpg,cheese cake,321 cal
cheese cake/cheesecake.861.jpg,cheese cake,321 cal
donuts/donuts.769.jpg,cheese cake,321 cal
chicken wings/chicken_wings.882.jpg,cheese cake,321 cal
cheese cake/cheesecake.756.jpg,cheese cake,321 cal
oyster/oysters.744.jpg,cheese cake,321 cal
gyoza/gyoza.982.jpg,cheese cake,321 cal
oyster/oysters.791.jpg,cheese cake,321 cal
waffle/waffle.775.jpg,cheese cake,321 cal
waffle/waffle.961.jpg,cheese cake,321 cal
fried rice/fried_rice.778.jpg,cheese cake,321 cal
donuts/donuts.908.jpg,cheese cake,321 cal
fried rice/fried_rice.968.jpg,cheese cake,321 cal
french fries/french_fries.937.jpg,cheese cake,321 cal
french fries/french_fries.873.jpg,cheese cake,321 cal
fried rice/fried_rice.992.jpg,cheese cake,321 cal
french fries/french_fries.742.jpg,cheese cake,321 cal
french fries/french_fries.907.jpg,cheese cake,321 cal
waffle/waffle.934.jpg,cheese cake,321 cal
cheese cake/cheesecake.842.jpg,cheese cake,321 cal
waffle/waffle.806.jpg,cheese cake,321 cal
oyster/oysters.947.jpg,cheese cake,321 cal
waffle/waffle.998.jpg,cheese cake,321 cal
ice-cream/ice_cream.949.jpg,cheese cake,321 cal
french fries/french_fries.990.jpg,cheese cake,321 cal
ice-cream/ice_cream.884.jpg,cheese cake,321 cal
ice-cream/ice_cream.924.jpg,cheese cake,321 cal
gyoza/gyoza.734.jpg,cheese cake,321 cal
scallops/scallops.887.jpg,cheese cake,321 cal
ice-cream/ice_cream.706.jpg,cheese cake,321 cal
chicken wings/chicken_wings.924.jpg,cheese cake,321 cal
ice-cream/ice_cream.890.jpg,cheese cake,321 cal
french fries/french_fries.963.jpg,cheese cake,321 cal
gyoza/gyoza.797.jpg,cheese cake,321 cal
waffle/waffle.936.jpg,cheese cake,321 cal
waffle/waffle.975.jpg,cheese cake,321 cal
ice-cream/ice_cream.822.jpg,cheese cake,321 cal
oyster/oysters.716.jpg,cheese cake,321 cal
french fries/french_fries.945.jpg,cheese cake,321 cal
waffle/waffle.838.jpg,cheese cake,321 cal
cheese cake/cheesecake.750.jpg,cheese cake,321 cal
scallops/scallops.703.jpg,cheese cake,321 cal
fried rice/fried_rice.850.jpg,cheese cake,321 cal
oyster/oysters.876.jpg,cheese cake,321 cal
waffle/waffle.803.jpg,cheese cake,321 cal
donuts/donuts.766.jpg,cheese cake,321 cal
chicken wings/chicken_wings.815.jpg,cheese cake,321 cal
donuts/donuts.839.jpg,cheese cake,321 cal
french fries/french_fries.801.jpg,cheese cake,321 cal
waffle/waffle.881.jpg,cheese cake,321 cal
cheese cake/cheesecake.838.jpg,cheese cake,321 cal
chicken wings/chicken_wings.958.jpg,cheese cake,321 cal
waffle/waffle.916.jpg,cheese cake,321 cal
chicken wings/chicken_wings.744.jpg,cheese cake,321 cal
cheese cake/cheesecake.712.jpg,cheese cake,321 cal
cheese cake/cheesecake.730.jpg,cheese cake,321 cal
ice-cream/ice_cream.715.jpg,cheese cake,321 cal
french fries/french_fries.946.jpg,cheese cake,321 cal
gyoza/gyoza.805.jpg,cheese cake,321 cal
ice-cream/ice_cream.894.jpg,cheese cake,321 cal
ice-cream/ice_cream.749.jpg,cheese cake,321 cal
oyster/oysters.807.jpg,cheese cake,321 cal
ice-cream/ice_cream.727.jpg,cheese cake,321 cal
french fries/french_fries.716.jpg,cheese cake,321 cal
donuts/donuts.718.jpg,cheese cake,321 cal
french fries/french_fries.924.jpg,cheese cake,321 cal
oyster/oysters.797.jpg,cheese cake,321 cal
cheese cake/cheesecake.807.jpg,cheese cake,321 cal
fried rice/fried_rice.824.jpg,cheese cake,321 cal
chicken wings/chicken_wings.819.jpg,cheese cake,321 cal
gyoza/gyoza.836.jpg,cheese cake,321 cal
donuts/donuts.985.jpg,cheese cake,321 cal
scallops/scallops.981.jpg,cheese cake,321 cal
waffle/waffle.908.jpg,cheese cake,321 cal
ice-cream/ice_cream.940.jpg,cheese cake,321 cal
donuts/donuts.705.jpg,cheese cake,321 cal
gyoza/gyoza.979.jpg,cheese cake,321 cal
scallops/scallops.749.jpg,cheese cake,321 cal
french fries/french_fries.950.jpg,cheese cake,321 cal
ice-cream/ice_cream.747.jpg,cheese cake,321 cal
ice-cream/ice_cream.909.jpg,cheese cake,321 cal
scallops/scallops.833.jpg,cheese cake,321 cal
oyster/oysters.993.jpg,cheese cake,321 cal
oyster/oysters.717.jpg,cheese cake,321 cal
waffle/waffle.794.jpg,cheese cake,321 cal
chicken wings/chicken_wings.729.jpg,cheese cake,321 cal
cheese cake/cheesecake.980.jpg,cheese cake,321 cal
french fries/french_fries.804.jpg,cheese cake,321 cal
chicken wings/chicken_wings.963.jpg,cheese cake,321 cal
scallops/scallops.767.jpg,cheese cake,321 cal
chicken wings/chicken_wings.741.jpg,cheese cake,321 cal
oyster/oysters.768.jpg,cheese cake,321 cal
oyster/oysters.997.jpg,cheese cake,321 cal
gyoza/gyoza.953.jpg,cheese cake,321 cal
fried rice/fried_rice.770.jpg,cheese cake,321 cal
cheese cake/cheesecake.972.jpg,cheese cake,321 cal
ice-cream/ice_cream.983.jpg,cheese cake,321 cal
fried rice/fried_rice.783.jpg,cheese cake,321 cal
donuts/donuts.853.jpg,cheese cake,321 cal
oyster/oysters.945.jpg,cheese cake,321 cal
gyoza/gyoza.989.jpg,cheese cake,321 cal
french fries/french_fries.983.jpg,cheese cake,321 cal
french fries/french_fries.886.jpg,cheese cake,321 cal
cheese cake/cheesecake.795.jpg,cheese cake,321 cal
scallops/scallops.722.jpg,cheese cake,321 cal
oyster/oysters.877.jpg,cheese cake,321 cal
fried rice/fried_rice.978.jpg,cheese cake,321 cal
chicken wings/chicken_wings.783.jpg,cheese cake,321 cal
fried rice/fried_rice.949.jpg,cheese cake,321 cal
oyster/oysters.934.jpg,cheese cake,321 cal
french fries/french_fries.948.jpg,cheese cake,321 cal
gyoza/gyoza.795.jpg,cheese cake,321 cal
waffle/waffle.797.jpg,cheese cake,321 cal
waffle/waffle.942.jpg,cheese cake,321 cal
chicken wings/chicken_wings.831.jpg,cheese cake,321 cal
donuts/donuts.706.jpg,cheese cake,321 cal
ice-cream/ice_cream.794.jpg,cheese cake,321 cal
fried rice/fried_rice.801.jpg,cheese cake,321 cal
fried rice/fried_rice.833.jpg,cheese cake,321 cal
ice-cream/ice_cream.908.jpg,cheese cake,321 cal
ice-cream/ice_cream.950.jpg,cheese cake,321 cal
fried rice/fried_rice.788.jpg,cheese cake,321 cal
fried rice/fried_rice.758.jpg,cheese cake,321 cal
fried rice/fried_rice.944.jpg,cheese cake,321 cal
ice-cream/ice_cream.937.jpg,cheese cake,321 cal
gyoza/gyoza.964.jpg,cheese cake,321 cal
donuts/donuts.911.jpg,cheese cake,321 cal
gyoza/gyoza.874.jpg,cheese cake,321 cal
oyster/oysters.811.jpg,cheese cake,321 cal
donuts/donuts.708.jpg,cheese cake,321 cal
ice-cream/ice_cream.818.jpg,cheese cake,321 cal
ice-cream/ice_cream.838.jpg,cheese cake,321 cal
gyoza/gyoza.744.jpg,cheese cake,321 cal
fried rice/fried_rice.843.jpg,cheese cake,321 cal
donuts/donuts.976.jpg,cheese cake,321 cal
gyoza/gyoza.791.jpg,cheese cake,321 cal
